,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,
31,2.778262554,3.842932335,-0.167153748,-0.364596708,-0.288335713,-0.33090826,-0.318233373,-0.323662894,-0.323478841,-0.331791494,-0.293287767,-0.252460811,-0.253148266,-0.237989413,-0.27260579,-0.323157464,-0.280461253,-0.299279724,-0.194854794,-0.219635701,0.152262133,-0.317490801,1.142956973
32,-0.309228572,-0.296224339,-0.194780042,-0.370982182,-0.302001349,-0.344960769,-0.309185549,-0.323295811,-0.143218289,-0.296811062,-0.298628955,-0.255897594,-0.289660108,-0.233285517,-0.272732116,-0.323823945,-0.295653666,-0.298296659,-0.209069576,-0.243605922,-0.292992401,-0.309565265,0.002671575
33,-0.24830111,-0.24599756,-0.15505736,1.774527612,3.512118054,2.482292249,0.265756412,1.224674526,1.011241393,0.789114601,0.00669934,-0.105272175,-0.252380209,-0.205015543,-0.258137494,-0.310131436,-0.253831546,-0.275394027,-0.20651395,-0.234255651,-0.177107798,-0.272251828,1.086553316
34,-0.270163066,-0.16447551,-0.176696693,-0.08260865,-0.068247304,0.080356611,0.519842804,0.008563311,-0.255825939,-0.1648424,-0.099606354,-0.100841435,0.907233335,2.341354549,1.680609563,-0.223901321,-0.231096957,2.016830386,0.159777182,0.938445551,6.040649688,2.782503024,2.278820474
35,0.128928529,-0.108458262,-0.139736392,-0.31715874,-0.246474804,-0.306353345,-0.285223744,-0.298466698,-0.250161428,-0.33266412,-0.293862016,-0.245324447,-0.270889442,-0.215331346,-0.240527359,-0.229985397,-0.147799565,-0.218727132,-0.160484507,-0.184158128,-0.286206997,-0.28840743,0.010007072
36,-0.084306872,-0.185399472,-0.140901768,-0.296364183,-0.192492575,-0.314082009,-0.285775273,-0.306430422,-0.326154942,-0.331605999,-0.277379739,-0.252453163,-0.268409662,-0.210106564,-0.261176187,-0.309812212,-0.270823463,-0.274189695,-0.206345911,-0.230263645,-0.285044397,-0.295183734,0.00392811
37,-0.312325382,-0.300986463,-0.196311598,-0.368417876,-0.239979425,-0.346096292,-0.313239656,-0.303946939,-0.332787515,-0.307105619,-0.292672789,-0.257957959,-0.287940811,-0.23396354,-0.266784178,-0.322199338,-0.297513529,-0.30229879,-0.215428545,-0.235151095,-0.318147013,-0.324610495,0.001932054
38,-0.223698051,-0.134982338,0.089924457,-0.355239906,-0.299990068,-0.335936314,-0.275515441,-0.322083933,-0.283627348,-0.317204915,-0.286208632,-0.248002155,-0.276486775,2.292531491,-0.237046691,-0.147022203,-0.121052678,-0.076269944,-0.115092476,-0.161721545,-0.298492863,-0.303854618,0.299561921
39,0.398460534,0.178340723,-0.091992406,-0.187646323,0.051589317,0.289067936,1.69314636,-0.136168921,0.864356987,-0.250510246,-0.197514835,0.099730602,-0.214003735,-0.134066401,0.27117596,-0.199176449,-0.055540276,4.111237178,-0.198700335,0.4534206,0.435136944,-0.284309573,0.928598304
40,0.409039654,1.178456982,-0.18682083,-0.308345433,-0.273195504,-0.340241479,-0.314403212,-0.289023872,-0.335222553,-0.347342862,-0.302055093,-0.260186822,-0.281135013,-0.234036911,-0.273773898,-0.331951794,-0.299863075,-0.300396527,-0.225971354,-0.250183365,-0.305912986,-0.32787761,0.117269385
